City,Date,Card Type,Exp Type,Gender,Amount,Date_as_int,Year,Month,Country
Delhi,2014-10-29,Gold,Bills,F,82475,20141029,2014,Oct,India
Greater Mumbai,2014-08-22,Platinum,Bills,F,32555,20140822,2014,Aug,India
Bengaluru,2014-08-27,Silver,Bills,F,101738,20140827,2014,Aug,India
Greater Mumbai,2014-04-12,Signature,Bills,F,123424,20140412,2014,Apr,India
Bengaluru,2015-05-05,Gold,Bills,F,171574,20150505,2015,May,India
Delhi,2014-09-08,Silver,Bills,F,100036,20140908,2014,Sep,India
Delhi,2015-02-24,Gold,Bills,F,143250,20150224,2015,Feb,India
Greater Mumbai,2014-06-26,Platinum,Bills,F,150980,20140626,2014,Jun,India
Delhi,2014-03-28,Silver,Bills,F,192247,20140328,2014,Mar,India
Delhi,2014-09-01,Platinum,Bills,F,67932,20140901,2014,Sep,India
Delhi,2014-06-22,Platinum,Bills,F,280061,20140622,2014,Jun,India
Greater Mumbai,2013-12-07,Signature,Bills,F,278036,20131207,2013,Dec,India
Greater Mumbai,2014-08-07,Gold,Bills,F,19226,20140807,2014,Aug,India
Delhi,2014-04-27,Signature,Bills,F,254359,20140427,2014,Apr,India
Greater Mumbai,2014-08-15,Signature,Bills,F,302834,20140815,2014,Aug,India
Greater Mumbai,2014-11-28,Platinum,Bills,F,647116,20141128,2014,Nov,India
Greater Mumbai,2014-06-14,Signature,Bills,F,421878,20140614,2014,Jun,India
Greater Mumbai,2015-03-30,Gold,Bills,F,986379,20150330,2015,Mar,India
Greater Mumbai,2014-03-15,Platinum,Bills,F,213047,20140315,2014,Mar,India
Greater Mumbai,2013-11-09,Platinum,Bills,F,735566,20131109,2013,Nov,India
Delhi,2014-04-04,Signature,Bills,F,366102,20140404,2014,Apr,India
Delhi,2014-07-01,Signature,Bills,F,809623,20140701,2014,Jul,India
Greater Mumbai,2015-03-27,Silver,Bills,F,467014,20150327,2015,Mar,India
Ahmedabad,2013-10-11,Gold,Bills,F,668568,20131011,2013,Oct,India
